address,contract_type,official_name,pool_group,status,decimals,impl_address,event_count,first_seen,last_seen,in_official_registry,note
0x36a7350309b2eb30f3b908ab0154851b5ed81db0,Factories:fixedTermLoanFactory,fixedTermLoanFactory,Factories,active,6,,,,,yes,
0xea067db5b32ce036ee5d8607dbb02f544768dbc6,Factories:fixedTermLoanFactoryV2,fixedTermLoanFactoryV2,Factories,active,6,,,,,yes,
0x1551717ae4fdcb65ed028f7fb7aba39908f6a7a6,Factories:fixedTermLoanManagerFactory,fixedTermLoanManagerFactory,Factories,active,6,,,,,yes,
0xa2091116649b070d2a27fc5c85c9820302114c63,Factories:liquidatorFactory,liquidatorFactory,Factories,active,6,,,,,yes,
0x6fad515fc046dd17166453a79725f50b917b7cf6,Factories:openTermLoanFactory,openTermLoanFactory,Factories,active,6,,,,,yes,
0x90b14505221a24039a2d11ad5862339db97cc160,Factories:openTermLoanManagerFactory,openTermLoanManagerFactory,Factories,active,6,,,,,yes,
0xe463cd473ecc1d1a4ecf20b62624d84dd20a8339,Factories:poolManagerFactory,poolManagerFactory,Factories,active,6,,,,,yes,
0x27327e08de810c687687f95bfce92088089b56db,Factories:skyStrategyFactory,skyStrategyFactory,Factories,active,6,,,,,yes,
0xb9e25b584dc4a7c9d47aef577f111fbe5705773b,Factories:withdrawalManagerCyclicalFactory,withdrawalManagerCyclicalFactory,Factories,active,6,,,,,yes,
0xca33105902e8d232ddfb9f71ff3d79c7e7f2c4e5,Factories:withdrawalManagerQueueFactory,withdrawalManagerQueueFactory,Factories,active,6,,,,,yes,
0xc39a5a616f0ad1ff45077fa2de3f79ab8eb8b8b9,MaplePool,securedLendingUSDCPool,Maple Institutional - Secured Lending,active,6,,1097,2024-03-04,2026-09-10,yes,high yield secured
0x9cef7d1d390a4811bba1bc40a53b40a506c33b19,PoolManager,PoolManager,Maple Institutional - Secured Lending,active,6,,,,,yes,
0xb50d675f3c6d18ce5ccac691354f92afebd1675e,OpenTermLoanManager,OpenTermLoanManager,Maple Institutional - Secured Lending,active,6,0xbad003da1e107f537ae2f687f5fe7a7affe9b241,466,2024-03-22,2026-09-10,yes,
0x78a13c2f24df55feef7f8c895396cf1dd21cf56f,FixedTermLoanManager,FixedTermLoanManager,Maple Institutional - Secured Lending,active,6,,,,,yes,
0xe3ee1b26af5396cec45c8c3b4c4fd5136a2455cc,MapleSkyStrategy,SkyStrategy,Maple Institutional - Secured Lending,active,6,0xbbee42621499005ff0ddef947bbdeffbbee77730,759,2025-04-18,2026-04-20,yes,
0x87aa770f610679dfc2553fb95fac1b4d996ba1cd,MapleAaveStrategy,AaveStrategy,Maple Institutional - Secured Lending,active,6,0xfc8f7f97165d446b02cc95363d2ca31154bbe9f9,2,2025-04-23,2025-04-30,yes,
0x98005a88a32f1a88f68598ab8ba7db914aa6d626,PoolDelegateCover,PoolDelegateCover,Maple Institutional - Secured Lending,active,6,,,,,yes,
0x8a665131e796203a5232527fac441480e02fbb7f,WithdrawalManagerQueue,WithdrawalManagerQueue,Maple Institutional - Secured Lending,active,6,,,,,yes,
0x23cef2965db19f67a996371f9cb1a2f33d2b4821,MapleCCIPReceiver:Implementation,Implementation,MapleCCIPReceiver,active,6,,,,,yes,
0x02b6a75c5d1f430f0614dc5ac8ad5f9d35fba2c4,MapleCCIPReceiver:Proxy,Proxy,MapleCCIPReceiver,active,6,,,,,yes,
0xbad003da1e107f537ae2f687f5fe7a7affe9b241,impl:OpenTermLoanManagerV100:Implementation,Implementation,OpenTermLoanManagerV100,active,6,,,,,yes,
0x20d0b31c2620c28d22489babfef9445c7d952921,impl:OpenTermLoanManagerV100:Initializer,Initializer,OpenTermLoanManagerV100,active,6,,,,,yes,
0x09fe53d404fbe13750047ecdb64ec6aa6fae46e6,impl:PoolManagerV100:Implementation,Implementation,PoolManagerV100,active,6,,,,,yes,
0x0b240bf499773905802ee4de43f96407c436d549,impl:PoolManagerV100:Initializer,Initializer,PoolManagerV100,active,6,,,,,yes,
0xb918c805b33b02895f6f06c2efa31d178678c947,impl:PoolManagerV200:Implementation,Implementation,PoolManagerV200,active,6,,,,,yes,
0x0055c00ba4dec5ed545a5419c4d430dada8cb1ce,impl:PoolManagerV300:Implementation,Implementation,PoolManagerV300,active,6,,,,,yes,
0x252c44a1630095504e3d3972b9b296f5ed494911,impl:PoolManagerV300:Initializer,Initializer,PoolManagerV300,active,6,,,,,yes,
0x9450d0d19802ae0add44565752cdab70e0a1c6ed,impl:PoolManagerV300:Migrator,Migrator,PoolManagerV300,active,6,,,,,yes,
0x5b1d19ac5420ba8819aad6c0b98a41095e5c86c2,impl:PoolManagerV301:Implementation,Implementation,PoolManagerV301,active,6,,,,,yes,
0x9d07a8373e9abe5a430ccd161d6373e248d7778f,impl:PoolManagerV301:Migrator,Migrator,PoolManagerV301,active,6,,,,,yes,
0xfe02be1ad28edfd8e3dd6f29c402b244c2a258b8,impl:PoolManagerV400:Implementation,Implementation,PoolManagerV400,active,6,,,,,yes,
0xb33bfa00e1d92fdac5aecb2976d6998c2ecca759,impl:PoolManagerV400:Initializer,Initializer,PoolManagerV400,active,6,,,,,yes,
0xfeaca6a5703e6f9de0ebe0975c93ae34c00523f2,MapleLoanFeeManager,feeManager,Singletons,active,6,,99,2022-12-12,2025-03-07,yes,
0x78da667caadd8827690111bebeca875723feaf7c,Singletons:accountingChecker,accountingChecker,Singletons,active,6,,,,,yes,
0x70eb188452daa5f4662150e437b61da148449e20,Singletons:borrowerActions,borrowerActions,Singletons,active,6,,,,,yes,
0xec90671c2c8f4ccbb6074938f893306a13402251,Singletons:fixedTermRefinancerV1,fixedTermRefinancerV1,Singletons,active,6,,,,,yes,
0x27ea6e67fb62ab2a603d4acbc9377d7a9a0fd5e3,Singletons:fixedTermRefinancerV2,fixedTermRefinancerV2,Singletons,active,6,,,,,yes,
0x804a6f5f667170f545bf14e5ddb48c70b788390c,Singletons:globals,globals,Singletons,active,6,,,,,yes,
0x75b7b44dcd28df0beda913ae2809ede986e8f461,Singletons:mplUserActions,mplUserActions,Singletons,active,6,,,,,yes,
0x653d4947620b73a433cabbc9dfb068c3e9c18984,Singletons:openTermRefinancer,openTermRefinancer,Singletons,active,6,,,,,yes,
0x9322fcbb9cf9f04728ad9cb62c80a12615ff9adc,Singletons:poolDeployerV1,poolDeployerV1,Singletons,active,6,,,,,yes,
0x87826f821af105802064785a3905c794ef259d5c,Singletons:poolDeployerV2,poolDeployerV2,Singletons,active,6,,,,,yes,
0x12fb5dbbdb06ab973f047cc46d6bb33ba4d03b96,Singletons:poolDeployerV3,poolDeployerV3,Singletons,active,6,,,,,yes,
0xdaf005b31b10f33ee42ceb1a4b983434fe947488,Singletons:poolDeployerV4,poolDeployerV4,Singletons,active,6,,,,,yes,
0xbe10adce8b6e3e02db384e7fada5395dd113d8b3,Singletons:poolPermissionManager,poolPermissionManager,Singletons,active,6,,,,,yes,
0xc70f1db57f72055c91cc35542aeaf9045419d67f,Singletons:protocolHealthChecker,protocolHealthChecker,Singletons,active,6,,,,,yes,
0x509712f368255e92410893ba2e488f40f7e986ea,Singletons:syrupDrip,syrupDrip,Singletons,active,6,,,,,yes,
0xd2c59781f1db84080a0592ce83fe265642a4a8eb,Singletons:syrupRateProvider,syrupRateProvider,Singletons,active,6,,,,,yes,
0xa9466eabd096449d650d5aeb0dd3da6f52fd0b19,Singletons:treasury,treasury,Singletons,active,6,,,,,yes,
0xf1714088aa71aedaa8ebdab7a06cab0748b84df8,Singletons:xmplHealthChecker,xmplHealthChecker,Singletons,active,6,,,,,yes,
0x6ed767ebcff51533e5181f7bf818f2b9bd767aec,SyrupToken:Implementation,Implementation,SyrupToken,active,6,,,,,yes,
0xfe4a4fd3bd2e0eb400355aef5aa1752bc54b30fc,SyrupToken:Initializer,Initializer,SyrupToken,active,6,,,,,yes,
0x9c9499edd0cd2dcbc3c9dd5070baf54777ad8f2c,SyrupToken:Migrator,Migrator,SyrupToken,active,6,,,,,yes,
0x643c4e15d7d62ad0abec4a9bd4b001aa3ef52d66,SyrupToken:Proxy,Proxy,SyrupToken,active,6,,,,,yes,
0x5dfe0460f66fa06bfcbb3211e723556be6b3f69d,SyrupToken:RecapitalizationModule,RecapitalizationModule,SyrupToken,active,6,,,,,yes,
0xc7e8b36e0766d9b04c93de68a9d47dd11f260b45,SyrupToken:StSyrup,StSyrup,SyrupToken,active,6,,,,,yes,
0x688aee022aa544f150678b8e5720b6b96a9e9a2f,SyrupToken:SyrupOftAdapter,SyrupOftAdapter,SyrupToken,active,6,,,,,yes,
0x33349b282065b0284d756f0577fb39c158f935e6,Tokens:mplv1,mplv1,Tokens,active,6,,,,,yes,
0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,Tokens:usdc,usdc,Tokens,active,6,,,,,yes,
0x5dc5e14be1280e747cd036c089c96744ebf064e7,Tokens:usdcUsdOracle,usdcUsdOracle,Tokens,active,6,,,,,yes,
0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,Tokens:wbtc,wbtc,Tokens,active,6,,,,,yes,
0xf4030086522a5beea4988f8ca5b36dbc97bee88c,Tokens:wbtcUsdOracle,wbtcUsdOracle,Tokens,active,6,,,,,yes,
0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,Tokens:weth,weth,Tokens,active,6,,,,,yes,
0x5f4ec3df9cbd43714fe2740f5e3616155c5b8419,Tokens:wethUsdOracle,wethUsdOracle,Tokens,active,6,,,,,yes,
0x4937a209d4cdbd3ecd48857277cfd4da4d82914c,Tokens:xmpl,xmpl,Tokens,active,6,,,,,yes,
0xb12ec38e3508b0919fa989a0e60fde489b46f430,impl:WithdrawalManagerCyclicalV100:Implementation,Implementation,WithdrawalManagerCyclicalV100,active,6,,,,,yes,
0x1063dca836894b12f29003ca2899ff806a2b0b31,impl:WithdrawalManagerCyclicalV100:Initializer,Initializer,WithdrawalManagerCyclicalV100,active,6,,,,,yes,
0xcc4e684916aa7fa0e4faef2359b49a755f89c75b,impl:WithdrawalManagerCyclicalV110:Implementation,Implementation,WithdrawalManagerCyclicalV110,active,6,,,,,yes,
0x485ba3f5235f150bf8e4afbd3a25c266cdadd9dd,impl:WithdrawalManagerCyclicalV110:Initializer,Initializer,WithdrawalManagerCyclicalV110,active,6,,,,,yes,
0x899b57bbd8597aa2d1898476504f479c982c5c2c,impl:WithdrawalManagerQueueV100:Implementation,Implementation,WithdrawalManagerQueueV100,active,6,,,,,yes,
0x637f8dc4c4d07d1cc30ae131fa94a060dee6be96,impl:WithdrawalManagerQueueV100:Initializer,Initializer,WithdrawalManagerQueueV100,active,6,,,,,yes,
0xf95e5722226a1018d058cd757b75f1d10289e967,impl:WithdrawalManagerQueueV200:Implementation,Implementation,WithdrawalManagerQueueV200,active,6,,,,,yes,
0xd389bfe4a129525b486b098411336a4fcecf3024,impl:WithdrawalManagerQueueV200:Initializer,Initializer,WithdrawalManagerQueueV200,active,6,,,,,yes,
0x327ec27a6d898d865d7759d47d36a2c3fbbd23a5,impl:WithdrawalManagerQueueV200:Migrator,Migrator,WithdrawalManagerQueueV200,active,6,,,,,yes,
0xfc8f7f97165d446b02cc95363d2ca31154bbe9f9,impl:aaveStrategyV100:Implementation,Implementation,aaveStrategyV100,active,6,,,,,yes,
0x0d2dbb28b1c7d225132722fadb2402e93a35c1be,impl:aaveStrategyV100:Initializer,Initializer,aaveStrategyV100,active,6,,,,,yes,
0x7a1e281ec29f3a861f211a28a23161762bd55b73,impl:basicStrategyV100:Implementation,Implementation,basicStrategyV100,active,6,,,,,yes,
0x2b9addb5244548f126e59fa5483040efc102f69e,impl:basicStrategyV100:Initializer,Initializer,basicStrategyV100,active,6,,,,,yes,
0x78c5f240a1150c3c2ebdbde559d04a0418dfcff3,impl:borrowerActionsV1:Implementation,Implementation,borrowerActionsV1,active,6,,,,,yes,
0x9303aed6231f131f8e61d579cb69aea4df365f3d,impl:fixedTermLoanManagerV200:Implementation,Implementation,fixedTermLoanManagerV200,active,6,,,,,yes,
0x1caddec2a39232253d0a2424c21543f216284bf2,impl:fixedTermLoanManagerV200:Initializer,Initializer,fixedTermLoanManagerV200,active,6,,,,,yes,
0x5b97c9dcce2693844b90cea40ba1fd15bf99eb01,impl:fixedTermLoanManagerV301:Implementation,Implementation,fixedTermLoanManagerV301,active,6,,,,,yes,
0xcbe920b1931da57069b12a19bc6d11ad7b5adabd,impl:fixedTermLoanManagerV301:Initializer,Initializer,fixedTermLoanManagerV301,active,6,,,,,yes,
0xe7bd3cc389b2182e6ec350fa9c90670dd76c061c,impl:fixedTermLoanV400:Implementation,Implementation,fixedTermLoanV400,active,6,,,,,yes,
0xdaa12dd385cbd04c60494efbbe8e757ec1b649ca,impl:fixedTermLoanV400:Initializer,Initializer,fixedTermLoanV400,active,6,,,,,yes,
0xb4be919810c6f4ce20b2d3cc221fd5d737b46c3e,impl:fixedTermLoanV400:Migrator,Migrator,fixedTermLoanV400,active,6,,,,,yes,
0x98b7893c5717af41d3e351c6e3445be02a062a90,impl:fixedTermLoanV501:Implementation,Implementation,fixedTermLoanV501,active,6,,,,,yes,
0x8f596d2f57c26fb1cd22f25c9a686e38a62ce137,impl:fixedTermLoanV501:Initializer,Initializer,fixedTermLoanV501,active,6,,,,,yes,
0xaf19511ea6ad222695a762ce01b33fd2d777992c,impl:fixedTermLoanV501:Migrator,Migrator,fixedTermLoanV501,active,6,,,,,yes,
0x7a6f2c7b4f6ad1cb00ab23ecc5b41d25da439005,impl:fixedTermLoanV502:Implementation,Implementation,fixedTermLoanV502,active,6,,,,,yes,
0x6d4416e6c0536fd33127d38af21bc912475584e3,impl:fixedTermLoanV502:Migrator,Migrator,fixedTermLoanV502,active,6,,,,,yes,
0xe59afb1a3239a0ae48c9b77a44c3cdf1a3783f9d,impl:fixedTermLoanV600:Implementation,Implementation,fixedTermLoanV600,active,6,,,,,yes,
0x37dbab1ca75baf218251f05e4063270cdd5c5fa8,impl:fixedTermLoanV600:Initializer,Initializer,fixedTermLoanV600,active,6,,,,,yes,
0xe1714ceeb10683448e40bfe73c9f493662ff5b7e,impl:fixedTermLoanV601:Implementation,Implementation,fixedTermLoanV601,active,6,,,,,yes,
0xc43e722a0f9432609a96df0cf1afa99556532f18,impl:fixedTermLoanV601:Initializer,Initializer,fixedTermLoanV601,active,6,,,,,yes,
0x562374079a8a07417ec4a69d5d52f9cba796d364,impl:globalsV2:Implementation,Implementation,globalsV2,active,6,,,,,yes,
0x5a64417823e8382a7e8957e4411873fe758e73a8,impl:globalsV3:Implementation,Implementation,globalsV3,active,6,,,,,yes,
0x9beabb1b6f3ad1ddb87b65148ba5eb6102334956,impl:globalsV301:Implementation,Implementation,globalsV301,active,6,,,,,yes,
0xe6a03ba967172a1ff218fee686445f444258021a,impl:liquidatorV200:Implementation,Implementation,liquidatorV200,active,6,,,,,yes,
0xed9d14f83eddd08572c403175fff41c42a35a149,impl:liquidatorV200:Initializer,Initializer,liquidatorV200,active,6,,,,,yes,
0x085176e2a201c90ce506be00bfc4f411bf9b3998,impl:openTermLoanV101:Implementation,Implementation,openTermLoanV101,active,6,,,,,yes,
0x92d40038e411612e8ce633ccc29158c6a55cd9f3,impl:openTermLoanV101:Initializer,Initializer,openTermLoanV101,active,6,,,,,yes,
0x133a6fee09dfb0fd3b0e0f69c8897cce3798d4bb,impl:openTermLoanV200:Implementation,Implementation,openTermLoanV200,active,6,,,,,yes,
0xbbd0537d68c41dc3eda4b362436a119059be9836,impl:openTermLoanV200:Initializer,Initializer,openTermLoanV200,active,6,,,,,yes,
0xeeadb66693d63cfcf3e4d942d2812d4ae9443fc1,impl:openTermLoanV201:Implementation,Implementation,openTermLoanV201,active,6,,,,,yes,
0x9385a0f681c3d4b39c2780cd69777dd97a681485,impl:openTermLoanV201:Initializer,Initializer,openTermLoanV201,active,6,,,,,yes,
0xbbee42621499005ff0ddef947bbdeffbbee77730,impl:skyStrategyV100:Implementation,Implementation,skyStrategyV100,active,6,,,,,yes,
0x29199d071717c72baab50eef9add6736a18a1d1d,impl:skyStrategyV100:Initializer,Initializer,skyStrategyV100,active,6,,,,,yes,
0x80ac24aa929eaf5013f6436cda2a7ba190f5cc0b,MaplePool,syrupUSDCPool,syrupUSDC,active,6,,21532,2024-06-15,2026-09-11,yes,flagship pool 21532 deposits
0x7ad5ffa5fdf509e30186f4609c2f6269f4b6158f,PoolManager,PoolManager,syrupUSDC,active,6,,,,,yes,
0x6aceb4caba81fa6a8065059f3a944fb066a10fac,OpenTermLoanManager,OpenTermLoanManager,syrupUSDC,active,6,0xbad003da1e107f537ae2f687f5fe7a7affe9b241,1112,2024-07-08,2026-09-10,yes,largest 1112 events
0x4a1c3f0d9ad0b3f9da085bebfc22dea54263371b,FixedTermLoanManager,FixedTermLoanManager,syrupUSDC,active,6,,,,,yes,
0x859c9980931fa0a63765fd8ef2e29918af5b038c,MapleSkyStrategy,SkyStrategy,syrupUSDC,active,6,0xbbee42621499005ff0ddef947bbdeffbbee77730,9593,2025-04-10,2026-04-20,yes,DORMANT since 2026-04-20
0x560b3a85af1cef113bb60105d0cf21e1d05f91d4,MapleAaveStrategy,AaveStrategy,syrupUSDC,active,6,0xfc8f7f97165d446b02cc95363d2ca31154bbe9f9,1514,2025-05-05,2026-04-02,yes,
0x134ccaaa4f1e4552ec8aecb9e4a2360ddcf8df76,SyrupRouter,SyrupRouter,syrupUSDC,active,6,,,,,yes,
0x9e62fe15d0e99ce2b30ce0d256e9ab7b6893aff5,PoolDelegateCover,PoolDelegateCover,syrupUSDC,active,6,,,,,yes,
0x1bc47a0dd0fdab96e9ef982fdf1f34dc6207cfe3,WithdrawalManagerQueue,WithdrawalManagerQueue,syrupUSDC,active,6,,,,,yes,
0x87b65c4aaffa76881f9e96f3e7ed945ddfc3cd7a,MaplePool,syrupUSDGPool,syrupUSDG,active,6,,594,2026-05-25,2026-09-11,yes,launched onchain 2026-05-25 five weeks pre-announcement
0x6c48cd22086f3db3f23e7ceedd5c429d93ff3327,PoolManager,PoolManager,syrupUSDG,active,6,,,,,yes,
0x7be9a1fa4cd69f7a077692d4afa52bd09531920a,OpenTermLoanManager,OpenTermLoanManager,syrupUSDG,active,6,0xbad003da1e107f537ae2f687f5fe7a7affe9b241,31,2026-06-24,2026-09-10,yes,NEW 2026-06-24 launched with syrupUSDG
0x191ac16255f49f7c6cb2e3b2502064a805943849,SyrupRouter,SyrupRouter,syrupUSDG,active,6,,,,,yes,Maple SyrupRouter for syrupUSDG — NOT Robinhood. apparent 97% holder concentration is a routing artifact (tx sender vs owner_).
0xfdc1b5a10f4da87b459dfc3bf1313b33a2f6bfa9,PoolDelegateCover,PoolDelegateCover,syrupUSDG,active,6,,,,,yes,
0xaf63c06970086d535f338565d77c5fa3bdc5fd79,WithdrawalManagerQueue,WithdrawalManagerQueue,syrupUSDG,active,6,,,,,yes,
0x356b8d89c1e1239cbbb9de4815c39a1474d5ba7d,MaplePool,syrupUSDTPool,syrupUSDT,active,6,,9440,2024-08-09,2026-09-11,yes,9440 deposits; host pool for Sept 2026 new strategies
0x0cda32e08b48bfddbc7ee96b44b09cf286f9e21a,PoolManager,PoolManager,syrupUSDT,active,6,,,,,yes,
0x616022e54324ef9c13b99c229dac8ea69af4faff,OpenTermLoanManager,OpenTermLoanManager,syrupUSDT,active,6,0xbad003da1e107f537ae2f687f5fe7a7affe9b241,434,2024-09-16,2026-09-11,yes,
0xc17aa0cb662bc4787bb16bd3bc13d0d88eb7abdd,FixedTermLoanManager,FixedTermLoanManager,syrupUSDT,active,6,,,,,yes,
0x2b817b822b0ddd4597a92dbed1bd0a6796ca37e0,MapleAaveStrategy,AaveStrategy,syrupUSDT,active,6,0xfc8f7f97165d446b02cc95363d2ca31154bbe9f9,4789,2025-04-10,2026-04-18,yes,DORMANT since 2026-04-18
0xf007476bb27430795138c511f18f821e8d1e5ee2,SyrupRouter,SyrupRouter,syrupUSDT,active,6,,,,,yes,
0x610d99d86d48b385b2ed17a0063e53b5c98e15a1,PoolDelegateCover,PoolDelegateCover,syrupUSDT,active,6,,,,,yes,
0x86ebdf902d800f2a82038290b6dbb2a5ee29eb8c,WithdrawalManagerQueue,WithdrawalManagerQueue,syrupUSDT,active,6,,,,,yes,
0x228b210885e233cb538808900f50e054bdd61e54,MaplePool,,(derived only),unknown,6,,1,2023-01-25,2023-01-25,no,
0x74cb3c1938a15e532cc1b465e3b641c2c7e40c2b,FixedTermLoanManager,,(derived only),unknown,6,0x5b97c9dcce2693844b90cea40ba1fd15bf99eb01,10,2022-12-12,2023-08-07,no,
0xe9d33286f0e37f517b1204aa6da085564414996d,MaplePool,aqruPool,AQRU,inactive,6,,58,2023-01-26,2024-02-20,yes,
0xa9c908ee077ee26b52137fff714150c7eb69e160,PoolManager,PoolManager,AQRU,inactive,6,,,,,yes,
0x483082e93635ef280bc5e9f65575a7ff288aba33,OpenTermLoanManager,OpenTermLoanManager,AQRU,inactive,6,0xbad003da1e107f537ae2f687f5fe7a7affe9b241,130,2023-09-12,2026-07-28,yes,
0xd05998a1940294e3e49f99dbb13fe20a3483f5ae,FixedTermLoanManager,FixedTermLoanManager,AQRU,inactive,6,0x5b97c9dcce2693844b90cea40ba1fd15bf99eb01,46,2023-05-04,2025-03-07,yes,
0x845bd1c0dbea5eacd97e6b4544a48176f5f31db9,PoolDelegateCover,PoolDelegateCover,AQRU,inactive,6,,,,,yes,
0x515f77fc8e1473591a89181a2cf6cd0aaf3f932d,WithdrawalManagerCyclical,WithdrawalManagerCyclical,AQRU,inactive,6,,,,,yes,
0xc1dd3f011290f212227170f0d02f511ebf57e433,MaplePool,blueChipSecuredUSDCPool,Blue Chip Secured Lending USDC,inactive,6,,247,2023-08-09,2025-11-20,yes,maple direct
0x5ee9587bf5f4ccceeed87b0216a31ebb513fac25,PoolManager,PoolManager,Blue Chip Secured Lending USDC,inactive,6,,,,,yes,
0xdc9b93a8a336fe5dc9db97616ea2118000d70fc0,OpenTermLoanManager,OpenTermLoanManager,Blue Chip Secured Lending USDC,inactive,6,0xbad003da1e107f537ae2f687f5fe7a7affe9b241,240,2023-09-07,2025-11-25,yes,
0x91582bdfef0bf36fc326a4ab9b59aacd61c105ff,FixedTermLoanManager,FixedTermLoanManager,Blue Chip Secured Lending USDC,inactive,6,,,,,yes,
0x773c634b1c12a4a7036eeea21586daed1df313c5,PoolDelegateCover,PoolDelegateCover,Blue Chip Secured Lending USDC,inactive,6,,,,,yes,
0xf18066db3a9590c401e1841598ad90663b4c6d23,WithdrawalManagerQueue,WithdrawalManagerQueue,Blue Chip Secured Lending USDC,inactive,6,,,,,yes,
0xf05681a33a9adf14076990789a89ab3da3f6b536,MaplePool,cashUSDTPool,Cash Management - USDT,inactive,6,,4,2023-07-06,2023-09-21,yes,
0xe76b219f83e887e2503e14c343bb7e0b62a7af5d,PoolManager,PoolManager,Cash Management - USDT,inactive,6,,,,,yes,
0x93b0f6f03cc6996120c19abff3e585fdb8d88648,OpenTermLoanManager,OpenTermLoanManager,Cash Management - USDT,inactive,6,0xbad003da1e107f537ae2f687f5fe7a7affe9b241,9,2023-07-19,2023-11-09,yes,
0x1b61765e954113e6508c4f9db07675989f7f5874,FixedTermLoanManager,FixedTermLoanManager,Cash Management - USDT,inactive,6,,,,,yes,
0x40750d41b4d2e0ff1736623a968ff7598d90f25a,PoolDelegateCover,PoolDelegateCover,Cash Management - USDT,inactive,6,,,,,yes,
0xf4dd63ee071178a6485e2035ed279839f5453512,WithdrawalManagerQueue,WithdrawalManagerQueue,Cash Management - USDT,inactive,6,,,,,yes,
0xfe119e9c24ab79f1bdd5dd884b86ceea2ee75d92,MaplePool,cashUSDCPool,Cash Management USDC,inactive,6,,141,2023-05-04,2024-10-17,yes,institutional cash mgmt - runoff
0x219654a61a0bc394055652986be403fa14405bb8,PoolManager,PoolManager,Cash Management USDC,inactive,6,,,,,yes,
0xfab269cb4ab4d33a61e1648114f6147742f5eecc,OpenTermLoanManager,OpenTermLoanManager,Cash Management USDC,inactive,6,0xbad003da1e107f537ae2f687f5fe7a7affe9b241,120,2023-06-20,2024-11-01,yes,
0xf4d4a5270aa834a2a77011526447fdf1e227018f,FixedTermLoanManager,FixedTermLoanManager,Cash Management USDC,inactive,6,0x5b97c9dcce2693844b90cea40ba1fd15bf99eb01,10,2023-06-23,2024-11-01,yes,
0x324bd0ae17ccbc16f17ffc085e5b03fd2acf0a72,PoolDelegateCover,PoolDelegateCover,Cash Management USDC,inactive,6,,,,,yes,
0x447dcea1d616f792645ed6e71bc32955a0dbcbaa,WithdrawalManagerQueue,WithdrawalManagerQueue,Cash Management USDC,inactive,6,,,,,yes,
0xf025edfa685c9ea873ea4b22da85e7e1fba24381,MaplePool,cicadaPool,Cicada,inactive,6,,4,2023-10-18,2023-10-23,yes,
0xba5936d5d8e5b050159ff8ccb2589309e3071c2a,PoolManager,PoolManager,Cicada,inactive,6,,,,,yes,
0xd205b3ed8408afca53315798b891f37bd4c5ce2a,OpenTermLoanManager,OpenTermLoanManager,Cicada,inactive,6,0xbad003da1e107f537ae2f687f5fe7a7affe9b241,10,2023-11-20,2024-04-25,yes,
0xd7217f29d51deffc6d5f95ff0a5200f3d34c0f66,FixedTermLoanManager,FixedTermLoanManager,Cicada,inactive,6,,,,,yes,
0xd1a42064b7ee5525fdbb779170462abf24395d6f,PoolDelegateCover,PoolDelegateCover,Cicada,inactive,6,,,,,yes,
0x4a5f63d9425070785eb10f5a0c33e42f16bb8639,WithdrawalManagerCyclical,WithdrawalManagerCyclical,Cicada,inactive,6,,,,,yes,
0x6174a27160f4d7885db4ffed1c0b5fbd66c87f3a,MaplePool,highYieldCorpUSDCPool,High Yield Corporate Loan USDC,inactive,6,,63,2023-12-17,2025-09-09,yes,
